upload_id,file_id,batch_id,batch_sequence,batch_total,tenant_id,tenant_name,tenant_type,client_id,ingestion_type,file_name,file_extension,file_size_bytes,mime_type,storage_path,checksum_sha256,processing_state,processing_service,uploaded_at,validated_at,processing_started_at,processing_completed_at,processing_duration_seconds,extracted_metadata,error_details,review_metadata,uploaded_by,source_ip,user_agent,is_reupload,original_upload_id,priority,tags,data_state
upload_dd0f846fc7714e83,file_e8fefe80dc2f4bcb,,,,TENANT_SME_008,Canberra GovTech,sme,CLI_SME_008,electricity_bill_pdf,electricity_bill_2025-01_4657.pdf,.pdf,1320528,application/pdf,s3://carboniq-ingestion-tenant_sme_008/2024/06/08/file_e8fefe80dc2f4bcb.pdf,67d25aba1a8374eb35c0dc61e9b37ea22b8b695f27cd22a969748fa1ecc5420b,completed,ocr_service,2024-06-08T05:17:49,2024-06-08T05:17:50,2024-06-08T05:18:15,2024-06-08T05:19:04.984775,49.98,"{""nmi"": ""8401422713"", ""billing_period_start"": ""2025-07-11T15:43:16"", ""billing_period_end"": ""2025-09-21T15:43:16"", ""total_kwh"": 336.42, ""total_cost_aud"": 178.28, ""retailer"": ""EnergyAustralia"", ""state"": ""SA"", ""tariff_type"": ""single_rate"", ""meter_number"": ""M84093639"", ""confidence_score"": 0.75}",,,user_777,161.185.98.35,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,False,,normal,"[""fy2025""]",SA
upload_e10b01b1959f46d4,file_0921d3f559124294,,,,TENANT_SME_009,Gold Coast Renewables,sme,CLI_SME_009,electricity_bill_image,bill_scan_2026-02_208.jpg,.jpg,7802439,image/jpeg,s3://carboniq-ingestion-tenant_sme_009/2025/04/08/file_0921d3f559124294.jpg,310890b01058478be93761a56d0aa0bc138227d1cd1a801c367de206ec4bbca7,completed,ocr_service,2025-04-08T14:49:41,2025-04-08T14:49:46,2025-04-08T14:49:54,2025-04-08T14:50:40.695275,46.7,"{""nmi"": ""9601507895"", ""billing_period_start"": ""2024-07-14T08:41:30"", ""billing_period_end"": ""2024-08-27T08:41:30"", ""total_kwh"": 5805.63, ""total_cost_aud"": 1059.44, ""retailer"": ""Jemena"", ""state"": ""NSW"", ""tariff_type"": ""demand"", ""meter_number"": ""M80823176"", ""confidence_score"": 0.947}",,,user_787,109.108.102.159,"CarbonIQ-Mobile-App/1.2.3 (iOS; iPhone15,2)",False,,normal,[],NSW
upload_a4ee9f63c7a44cce,file_c4ec7d10ae674203,batch_a48b704a6fa5,12.0,13.0,TENANT_SME_001,Perth Manufacturing Co.,sme,CLI_SME_001,electricity_bill_image,bill_scan_2026-04_162.png,.png,6774473,image/png,s3://carboniq-ingestion-tenant_sme_001/2025/05/02/file_c4ec7d10ae674203.png,db9fa0d4af211849b3a47ed1640ca4b8601ee8d9224ecde331ce692edfce0b5e,ocr_extracting,ocr_service,2025-05-02T04:02:05,2025-05-02T04:02:09,2025-05-02T04:02:28,,,"{""nmi"": ""7901065326"", ""billing_period_start"": ""2025-05-03T01:37:24"", ""billing_period_end"": ""2025-06-30T01:37:24"", ""total_kwh"": 2422.18, ""total_cost_aud"": 873.36, ""retailer"": ""Sumo Power"", ""state"": ""QLD"", ""tariff_type"": ""single_rate"", ""meter_number"": ""M11250299"", ""confidence_score"": 0.806}",,,user_371,145.51.37.109,CarbonIQ-Mobile-App/1.2.3 (Android; SM-S918B),False,,normal,"[""q3""]",QLD
upload_f9c1d4f6ae1142f6,file_5e8ef8874114463a,,,,TENANT_SME_010,Newcastle Industrial,sme,CLI_SME_010,nem12_interval_xml,NEM12_5701173041_202512.xml,.xml,46950359,application/xml,s3://carboniq-ingestion-tenant_sme_010/2025/04/19/file_5e8ef8874114463a.xml,6fe9a1e8a5b83a6b296d43c957a8cfba4a91f34c20f9c7e9b662bedec3cb78e1,completed,ingestion_service,2025-04-19T02:20:24,2025-04-19T02:20:25,2025-04-19T02:20:29,2025-04-19T02:20:57.519237,28.52,"{""nmi"": ""5601192147"", ""interval_start"": ""2025-05-02T06:44:16"", ""interval_end"": ""2026-01-10T06:44:16"", ""interval_minutes"": 30, ""total_intervals"": 12144, ""total_kwh"": 13686.26, ""meter_serial"": ""MS636265"", ""data_stream_suffix"": ""E1"", ""quality_flag"": ""A""}",,,user_101,148.97.130.22,"CarbonIQ-Mobile-App/1.2.3 (iOS; iPhone15,2)",False,,normal,"[""q1""]",WA
upload_0d722b651a3d4b41,file_8e5357f9753f4a3d,,,,TENANT_ADV_003,CarbonWise Partners,advisor,CLI_SME_012,nem12_interval_xml,NEM12_8801867585_202409.xml,.xml,63729724,application/xml,s3://carboniq-ingestion-tenant_adv_003/2025/11/30/file_8e5357f9753f4a3d.xml,0690a270635c6cd4108f5acacf3022a93bc29b1df104af6b1ba1cd91fc56585d,reviewed_accepted,ingestion_service,2025-11-30T03:49:00,2025-11-30T03:49:04,2025-11-30T03:49:17,2025-11-30T03:49:37.505989,20.51,"{""nmi"": ""8501243408"", ""interval_start"": ""2025-08-28T00:44:52"", ""interval_end"": ""2026-07-23T00:44:52"", ""interval_minutes"": 30, ""total_intervals"": 15792, ""total_kwh"": 39846.45, ""meter_serial"": ""MS703655"", ""data_stream_suffix"": ""K1"", ""quality_flag"": ""A""}",,"{""review_reason"": ""Duplicate upload detected"", ""confidence_score"": 0.507, ""flagged_fields"": [""retailer"", ""billing_period""], ""reviewer_id"": ""reviewer_016"", ""reviewed_at"": ""2025-12-01T08:49:37.505989"", ""review_decision"": ""accepted"", ""review_notes"": ""Dates cross-checked with previous bill. Accepted.""}",user_784,112.248.14.199,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,False,,normal,"[""audit"", ""solar"", ""q4""]",QLD
upload_ea32b14fb33a447c,file_c42dcab1b93d4693,,,,TENANT_SME_005,Adelaide AgriTech,sme,CLI_SME_005,electricity_bill_pdf,electricity_bill_2025-12_3506.pdf,.pdf,3803130,application/pdf,s3://carboniq-ingestion-tenant_sme_005/2024/09/30/file_c42dcab1b93d4693.pdf,3b49786b5b441318c237bf841332084f8b2d7d97720f7d61a0294f1c9c3877df,completed,ocr_service,2024-09-30T14:51:42,2024-09-30T14:51:46,2024-09-30T14:52:11,2024-09-30T14:52:59.786146,48.79,"{""nmi"": ""7901634343"", ""billing_period_start"": ""2025-02-05T08:04:33"", ""billing_period_end"": ""2025-04-17T08:04:33"", ""total_kwh"": 4105.22, ""total_cost_aud"": 1240.46, ""retailer"": ""Essential Energy"", ""state"": ""VIC"", ""tariff_type"": ""single_rate"", ""meter_number"": ""M79340535"", ""confidence_score"": 0.972}",,,user_876,22.123.208.250,CarbonIQ-Mobile-App/1.2.3 (Android; SM-S918B),False,,normal,"[""fy2024"", ""fy2025"", ""verification""]",VIC
upload_04ddd05fbf1e48a6,file_a7dc0d2a94c340a1,,,,TENANT_SME_002,Sydney Tech Solutions,sme,CLI_SME_002,nem12_interval_csv,NEM12_7901907620_202501.csv,.csv,11674429,text/csv,s3://carboniq-ingestion-tenant_sme_002/2026/05/07/file_a7dc0d2a94c340a1.csv,fa40c7ae29a7155ad5b4fd8755f68fa8635cac38e7b1f932881fe71d7b84df38,ocr_extracting,ingestion_service,2026-05-07T11:45:45,2026-05-07T11:45:49,2026-05-07T11:46:03,,,"{""nmi"": ""5401698013"", ""interval_start"": ""2025-03-24T08:10:57"", ""interval_end"": ""2025-12-03T08:10:57"", ""interval_minutes"": 5, ""total_intervals"": 73152, ""total_kwh"": 79183.51, ""meter_serial"": ""MS522060"", ""data_stream_suffix"": ""Q1"", ""quality_flag"": ""A""}",,,user_852,127.224.41.20,"CarbonIQ-Mobile-App/1.2.3 (iOS; iPhone15,2)",False,,normal,[],NSW
upload_2ade6d9bb1894aaa,file_3c48905a1c024e50,,,,TENANT_SME_004,Brisbane Logistics Pty Ltd,sme,CLI_SME_004,electricity_bill_pdf,electricity_bill_2024-04_5526.pdf,.pdf,3630789,application/pdf,s3://carboniq-ingestion-tenant_sme_004/2025/06/11/file_3c48905a1c024e50.pdf,baddd65bcd01aefb61ad7be0c45289c21d93e27440cea2759a64d367399f4fa4,failed_ocr,ocr_service,2025-06-11T23:28:02,2025-06-11T23:28:10,2025-06-11T23:28:40,2025-06-11T23:29:01,21.0,"{""nmi"": ""8401238434"", ""billing_period_start"": ""2025-08-15T05:19:38"", ""billing_period_end"": ""2025-10-31T05:19:38"", ""total_kwh"": 1898.09, ""total_cost_aud"": 914.85, ""retailer"": ""Amber Electric"", ""state"": ""WA"", ""tariff_type"": ""time_of_use"", ""meter_number"": ""M76481885"", ""confidence_score"": 0.978}","{""error_code"": ""SCAN_QUALITY_POOR"", ""error_message"": ""Image resolution too low or skewed scan detected"", ""retry_count"": 2, ""max_retries"": 3, ""retryable"": true, ""failed_at_stage"": ""normalization""}",,user_991,26.233.7.73,"CarbonIQ-Mobile-App/1.2.3 (iOS; iPhone15,2)",False,,normal,"[""q1"", ""solar""]",WA
upload_b04de686126d4fb3,file_f8550313ec854f42,,,,TENANT_SME_007,Darwin Mining Services,sme,CLI_SME_007,ppa_contract_pdf,PPA_contract_2026_863.pdf,.pdf,8533700,application/pdf,s3://carboniq-ingestion-tenant_sme_007/2025/03/20/file_f8550313ec854f42.pdf,f2fdbffc5c087aa9df130e8e31de462f471e27abf6b26176f057fd1a8f5631d7,completed,ocr_service,2025-03-20T14:05:28,2025-03-20T14:05:36,2025-03-20T14:05:38,2025-03-20T14:07:16.855819,98.86,"{""contract_reference"": ""PPA-7807"", ""seller_name"": ""Green Power Ltd"", ""contract_start"": ""2025-07-22T20:10:32"", ""contract_end"": ""2028-01-11T20:10:32"", ""annual_volume_mwh"": 7117.25, ""price_per_mwh"": 73.97, ""renewable_source"": ""wind"", ""contract_type"": ""virtual"", ""confidence_score"": 0.897}",,,user_944,225.187.139.84,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,False,,normal,"[""fy2025"", ""q3""]",QLD
upload_a66f27925ba7481e,file_379c54e4861246c1,,,,TENANT_SME_008,Canberra GovTech,sme,CLI_SME_008,electricity_bill_pdf,electricity_bill_2024-03_6464.pdf,.pdf,2193203,application/pdf,s3://carboniq-ingestion-tenant_sme_008/2024/07/14/file_379c54e4861246c1.pdf,7e11914a85f8791bdacb37357616a52e1d11bc898515acdbf9593a31d5c9cdfd,completed,ocr_service,2024-07-14T14:46:57,2024-07-14T14:47:06,2024-07-14T14:47:15,2024-07-14T14:48:07.840728,52.84,"{""nmi"": ""4701600723"", ""billing_period_start"": ""2024-09-27T16:22:09"", ""billing_period_end"": ""2024-11-27T16:22:09"", ""total_kwh"": 4835.57, ""total_cost_aud"": 1614.46, ""retailer"": ""Powershop"", ""state"": ""SA"", ""tariff_type"": ""controlled_load"", ""meter_number"": ""M58592048"", ""confidence_score"": 0.825}",,,user_408,28.231.113.22,CarbonIQ-Mobile-App/1.2.3 (Android; SM-S918B),False,,normal,"[""q2"", ""retailer_switch"", ""fy2025""]",SA
